project_id,title,description,client_id,freelancer_id,project_value,start_date,end_date,status,created_at
1,E-commerce Website,Build a full-stack e-commerce platform,101,1,5000.00,2023-04-01,2023-06-30,completed,2023-03-15 10:00:00
2,Logo Design,"Design modern logo for tech startup",102,2,800.00,2023-04-05,2023-04-20,completed,2023-03-20 14:30:00
3,Data Analysis,Analyze customer behavior patterns,103,3,2500.00,2023-04-10,2023-05-15,completed,2023-03-25 09:15:00
4,Content Writing,Write blog articles for marketing,104,4,1200.00,2023-04-15,2023-05-30,in_progress,2023-04-01 11:45:00
5,Mobile App Development,Develop iOS mobile application,105,5,8000.00,2023-05-01,2023-08-31,in_progress,2023-04-20 16:20:00
6,Social Media Campaign,Create and manage social media strategy,106,6,1500.00,2023-05-05,2023-06-05,in_progress,2023-04-25 13:10:00
7,ML Model Development,Build predictive analytics model,107,7,4500.00,2023-05-10,2023-07-10,in_progress,2023-04-30 08:30:00
8,Brand Identity Package,Complete brand identity design,108,8,2200.00,2023-05-15,2023-06-30,pending,2023-05-01 15:45:00
9,Technical Documentation,Write comprehensive API documentation,109,9,1800.00,2023-05-20,2023-06-20,pending,2023-05-05 12:00:00
10,Website Redesign,Redesign existing corporate website,110,10,3500.00,2023-06-01,2023-07-31,pending,2023-05-15 10:30:00
